#DMDensity EnergyDensity Pressure SIGCHIN SIGCHI2 DMmass 
0.388 7.2573e-20 1.20444e-15 0 55 0.19734
0.389 7.29476e-20 1.21065e-15 0 55 0.19734
0.39 7.33231e-20 1.21689e-15 0 55 0.19734
0.391 7.36996e-20 1.22313e-15 0 55 0.19734
0.392 7.40771e-20 1.2294e-15 0 55 0.19734
0.393 7.44555e-20 1.23568e-15 0 55 0.19734
0.394 7.48349e-20 1.24198e-15 0 55 0.19734
0.395 7.52152e-20 1.24829e-15 0 55 0.19734
0.396 7.55966e-20 1.25462e-15 0 55 0.19734
0.397 7.59788e-20 1.26096e-15 0 55 0.19734
0.398 7.63621e-20 1.26732e-15 0 55 0.19734
0.399 7.67463e-20 1.2737e-15 0 55 0.19734
0.4 7.71315e-20 1.28009e-15 0 55 0.19734
0.401 7.75176e-20 1.2865e-15 0 55 0.19734
0.402 7.79047e-20 1.29292e-15 0 55 0.19734
0.403 7.82928e-20 1.29936e-15 0 55 0.19734
0.404 7.86818e-20 1.30582e-15 0 55 0.19734
0.405 7.90718e-20 1.31229e-15 0 55 0.19734
0.406 7.94628e-20 1.31878e-15 0 55 0.19734
0.407 7.98547e-20 1.32529e-15 0 55 0.19734
0.408 8.02476e-20 1.33181e-15 0 55 0.19734
0.409 8.06414e-20 1.33834e-15 0 55 0.19734
0.41 8.10363e-20 1.34489e-15 0 55 0.19734
0.411 8.1432e-20 1.35146e-15 0 55 0.19734
0.412 8.18288e-20 1.35805e-15 0 55 0.19734
0.413 8.22265e-20 1.36465e-15 0 55 0.19734
0.414 8.26252e-20 1.37126e-15 0 55 0.19734
0.415 8.30248e-20 1.3779e-15 0 55 0.19734
0.416 8.34254e-20 1.38455e-15 0 55 0.19734
0.417 8.3827e-20 1.39121e-15 0 55 0.19734
0.418 8.42295e-20 1.39789e-15 0 55 0.19734
0.419 8.4633e-20 1.40459e-15 0 55 0.19734
0.42 8.50375e-20 1.4113e-15 0 55 0.19734
0.421 8.54429e-20 1.41803e-15 0 55 0.19734
0.422 8.58493e-20 1.42477e-15 0 55 0.19734
0.423 8.62566e-20 1.43153e-15 0 55 0.19734
0.424 8.66649e-20 1.43831e-15 0 55 0.19734
